FBillHead(BD_MATERIAL),FNumber,FName#2052,FSpecification#2052,FMnemonicCode,FOldNumber,FDescription#2052,FMaterialGroup,FMaterialGroup#Name,F_PSWZ_DirectLCost,F_PSWZ_OutsourcingFee,F_PSWZ_StandardCost,F_PSWZ_OutsourcingMCost,*Split*1,SubHeadEntity,FBARCODE,FErpClsID,FBaseUnitId,FBaseUnitId#Name
*物料(实体序号),(物料)编码,*(物料)名称#中文(简体),(物料)规格型号#中文(简体),(物料)助记码,(物料)旧物料编码,(物料)描述#中文(简体),(物料)物料分组#编码,(物料)物料分组#名称,(物料)直接人工费,(物料)委外加工费,(物料)标准成本,(物料)委外材料费,实体间隔列,*基本(实体序号),(基本)条码,*(基本)物料属性,*(基本)基本单位#编码,(基本)基本单位#名称
150853,01.01XXX757-01XXXR,ABS奇美757 原料/nguyên li?u nh?a abs  757 k? m?,ABS757(台湾)/ABS757 (?ài Loan), , , ,1,原料类,,,21,,,110018,,外购,kg,千克
150855,01.01XXX757-02XXXR,ABS奇美757 水口料,ABS757水口, , , ,1,原料类,,,,,,110019,,外购,kg,千克
150856,01.01XXX920-01XXXR,透明MABS920原料/nguyên li?u nh?a mabs920 trong su?t,透明MABS920/MABS920 trong su?t, , , ,1,原料类,,,18.5,,,110020,,外购,kg,千克
392473,03.H52374XX-XXXXXR,ROHS 色粉/b?t màu,"H-52374黑色BLACK MATTE， 303克/H-52374 M?U ?EN, 303g", , , ,3,色粉类,,,,,,152368,,外购,ST,ST
392474,05.P240063X-XXXXXR,ROHS 油漆/s?n,"硬胶喷油PMS10261 ,P-240063蓝色  (底色black matte 黑色)/Tiêm nh?a c?ng PMS10261, P-240063 màu xanh (n?n ?en m?)", , , ,5,喷油油漆类,,,,,,152369,,外购,L,升
392475,05.P240062X-XXXXXR,ROHS 油漆/s?n,"硬胶喷油PMS10394c ,P-240062浅灰色  (底色black matte 黑色)/Tiêm nh?a c?ng PMS10394c, P-240062 màu xám nh?t (n?n ?en m?)", , , ,5,喷油油漆类,,,,,,152370,,外购,L,升
392479,05.A266521X-XXXXXR,ROHS 油漆/s?n,"软胶喷油PMS10261c,A-266521蓝色(底色black matte 黑色)/Tiêm nh?a m?m PMS10261c, A-266521 màu xanh (n?n ?en m? ?en)", , , ,5,喷油油漆类,,,,,,152374,,外购,L,升
392480,01.03NPF100-01XXXR,环保PVC100度本白原料/nguyên li?u nh?a PVC100 ??c,(宝鼎)NPF100A/QAH812#(Rohs+Non-Phthalate), , , ,1,原料类,,,13,,,152375,,外购,kg,千克
392495,03.S81777XX-XXXXXR,ROHS 色粉/b?t màu,"S-81777棕色pms730，92克。/S-81777 n?u pms730, 92 gram.", , , ,3,色粉类,,,,,,152386,,外购,ST,ST
392500,03.H52372XX-XXXXXR,ROHS 色粉/b?t màu,H-52372灰白色PMS10389C，80克/H-52372 PMS10389C, , , ,3,色粉类,,,,,,152391,,外购,ST,ST
392551,03.H52370XX-XXXXXR,ROHS 色粉/b?t màu,H-52370灰白色PMS COOL GREY 1C，126克, , , ,3,色粉类,,,,,,152438,,外购,ST,ST
392735,00.010385PC-XXXXXR,385 PC胶水,385 PC胶水, , , ,0,辅料类,,,108.71,,,152501,,外购,kg,千克
392789,00.01000066-XXXXXR,DOG66胶水/KEO DOG 66,DOG 66, , , ,0,辅料类,,,,,,152534,,外购,kg,千克
393073,03.YLF99572-XXXXXR,ROHS 色粉/B?t màu,YLF-99572红色pms186c，70克, , , ,3,色粉类,,,,,,152683,,外购,kg,千克
393074,03.YLF99570-XXXXXR,ROHS 色粉/B?t màu,YLF-99570黑色BLACK MATTE，250  克, , , ,3,色粉类,,,,,,152684,,外购,kg,千克
393075,03.YLF99571-XXXXXR,ROHS 色粉/B?t màu,YLF-99571黑色BLACK MATTE， 30 克, , , ,3,色粉类,,,,,,152685,,外购,kg,千克
991308,PF.004285,? c?ng ADATA 512G_ASU650SS- 512GT-R, , , , ,PF001,办公用品,,,,,,285374,,外购,Pcs,Pcs
